Area_sqft,Bedrooms,Bathrooms,Age_years,Distance_to_City_km,Parking_Spaces,Price_Lakhs
1460,2,2,29,8.9,0,36.8
1894,3,1,16,7.0,0,32.61
1730,2,1,16,14.7,0,35.51
1695,2,1,29,14.0,2,20.0
2238,4,3,19,3.8,1,66.41
2769,5,3,15,17.6,0,74.23
1066,1,1,24,10.2,0,20.0
1838,4,3,21,15.0,1,49.61
930,3,2,12,11.7,0,29.43
2082,4,2,26,20.0,1,41.1
2735,4,3,18,15.2,1,67.0
730,1,1,16,14.3,1,29.66
2285,4,2,3,15.7,1,56.58
1369,2,2,11,3.3,1,37.4
2991,4,3,28,4.5,2,68.76
2115,3,2,8,14.4,0,43.78
3453,5,3,18,10.1,2,84.27
3033,4,2,11,15.2,0,79.96
1815,2,2,8,2.5,2,70.73
1555,2,1,6,11.0,1,31.38
2924,5,3,27,7.9,0,63.02
1784,3,2,13,9.4,0,49.59
1059,1,1,30,12.3,2,20.0
621,1,1,19,10.3,2,20.0
2900,5,3,18,11.0,0,76.73
1347,1,1,25,10.0,2,20.0
1074,1,1,14,8.5,2,37.26
1682,3,2,15,15.6,2,57.57
3158,5,3,20,0.7,1,85.45
2647,2,1,4,12.2,1,53.15
3347,5,3,2,11.5,2,102.85
1575,3,2,11,14.5,2,45.44
2406,3,2,24,12.2,1,53.27
789,2,1,19,16.6,1,26.84
3334,5,4,26,19.2,0,69.82
1162,2,1,20,7.2,0,20.0
2499,3,2,3,4.9,1,59.4
1867,2,1,20,8.8,2,29.12
3479,5,3,22,6.1,2,91.98
2128,3,2,15,12.5,2,69.0
1246,2,1,24,18.3,2,20.0
2668,4,2,6,3.2,0,80.94
3488,5,3,12,2.5,1,101.77
2814,4,3,20,5.5,2,88.99
1897,3,2,9,14.7,0,69.55
3035,4,3,25,12.1,2,64.51
1200,2,2,6,2.5,1,39.66
2963,4,3,13,18.4,0,76.64
2661,4,2,30,15.9,1,54.73
841,1,1,25,0.9,1,33.12
2641,4,3,4,13.2,0,79.16
3424,5,4,2,15.5,0,92.89
3212,3,2,22,7.8,0,71.04
1963,4,3,28,1.8,0,65.54
2739,3,2,10,2.0,0,80.81
1990,2,1,10,2.5,0,53.64
2078,1,1,17,16.9,0,33.88
3156,4,3,14,18.3,2,85.67
1375,2,2,11,2.9,1,57.08
634,1,1,8,5.1,0,23.89
2853,4,3,9,3.7,2,86.91
2555,3,2,25,4.1,2,61.45
2185,4,2,11,16.8,2,68.12
1621,3,2,16,7.0,1,36.51
3213,5,3,28,6.6,0,80.86
1729,1,1,5,4.9,2,40.8
2100,4,2,6,12.4,1,61.15
1302,2,2,13,7.9,1,47.63
3049,5,3,12,15.0,1,82.19
3377,4,3,7,4.5,2,99.2
2179,3,2,9,15.9,0,34.43
761,1,1,8,12.3,2,24.23
801,1,1,17,2.7,2,27.3
2581,4,3,26,8.6,0,81.33
1595,3,2,25,17.3,0,20.1
2917,3,2,1,18.5,0,67.05
1415,3,2,4,9.6,1,50.2
1055,2,1,28,9.9,0,24.97
1875,3,2,4,18.4,2,47.86
1616,1,1,5,11.9,0,32.79
2943,5,3,18,1.1,2,97.44
3367,5,3,7,18.3,1,88.24
937,1,1,15,5.3,2,20.0
1478,2,1,12,11.8,2,34.46
1676,3,1,0,3.7,0,65.83
1391,2,2,21,1.2,0,24.65
2864,4,2,19,6.6,2,74.42
1363,2,1,16,15.7,0,20.0
2835,5,3,30,5.9,1,83.99
979,2,1,6,4.8,1,20.0
1092,1,1,24,4.6,0,20.0
1780,2,2,12,10.5,1,45.16
2662,4,2,3,19.5,0,78.72
664,1,1,3,9.5,2,21.44
3168,4,3,5,11.4,2,83.43
1967,2,1,27,17.3,1,39.59
1752,2,1,30,10.9,0,20.0
2627,5,3,18,4.1,0,55.39
3295,4,3,28,6.3,1,80.38
2095,2,1,11,6.5,2,45.24
1762,3,2,21,8.2,1,31.68
2122,3,3,6,8.8,2,73.8
3240,5,3,26,16.1,0,71.25
991,1,1,9,7.3,2,20.0
2298,2,2,25,9.6,1,28.5
1018,2,1,18,12.7,0,22.18
2936,3,2,6,7.9,1,81.86
978,1,1,29,16.8,1,20.0
2396,3,2,2,12.0,2,85.29
2878,4,3,12,6.2,1,70.68
2688,4,2,12,14.4,2,51.69
2782,4,3,17,10.8,0,61.18
800,1,1,27,10.9,2,20.0
2463,5,3,29,9.9,0,61.68
1379,1,1,25,10.2,2,20.0
1102,2,1,19,15.4,1,20.0
3054,4,2,27,2.5,2,62.11
2351,3,1,7,7.0,2,77.46
1404,2,1,28,2.0,0,23.35
2746,3,2,30,15.2,1,55.88
3331,5,3,8,5.8,2,104.61
2495,3,3,6,18.0,1,65.38
3373,5,4,0,10.8,2,113.03
2170,3,2,2,16.1,2,62.73
1560,2,2,12,19.6,1,33.85
3260,4,3,27,16.9,2,80.28
2085,3,1,29,17.4,1,28.66
3290,5,4,24,8.5,2,96.26
1628,2,2,30,11.3,0,20.0
1102,1,1,27,5.5,1,27.09
3414,4,2,16,4.3,2,81.16
997,2,2,24,10.4,2,38.32
1470,3,1,23,12.1,0,23.35
3442,5,3,0,7.1,1,91.34
992,1,1,5,11.6,2,25.38
806,1,1,20,17.8,0,20.0
1638,2,2,5,11.4,2,54.35
2481,4,3,25,14.6,1,48.07
2084,4,3,11,16.2,2,54.93
1463,2,2,12,19.8,2,20.0
3390,5,3,12,12.3,2,87.37
1163,1,1,28,16.2,2,20.0
1620,2,2,14,19.3,0,20.0
695,1,1,20,18.9,0,20.0
2523,3,2,15,3.3,1,73.64
2357,3,3,21,8.4,0,58.64
3132,4,3,20,6.8,0,66.73
2878,4,3,10,2.2,1,86.91
3396,5,3,27,12.8,0,74.41
2278,4,3,4,14.9,0,53.33
1140,3,2,3,17.0,1,50.45
1659,2,2,2,2.9,1,64.35
3172,4,3,18,17.6,1,67.13
1783,3,2,19,13.0,2,41.36
2322,5,3,24,14.2,2,63.06
2419,4,2,17,18.3,1,30.89
3225,5,3,14,12.7,1,81.91
3329,5,3,8,7.0,1,90.5
3204,5,3,16,16.6,2,70.6
2197,4,3,13,7.6,2,66.47
3293,5,4,14,1.2,0,118.23
1395,3,1,30,16.7,0,20.0
1651,2,1,0,7.2,1,42.09
2243,3,2,20,15.6,2,51.44
1963,3,2,21,7.6,2,62.67
2581,4,3,21,17.3,2,68.37
1954,3,2,2,4.8,1,64.89
2263,4,2,15,19.5,0,39.81
2129,2,2,22,15.7,1,40.93
2638,4,3,24,2.7,0,72.75
2096,2,1,10,11.5,0,49.53
2837,4,3,11,19.7,1,72.95
2008,3,2,9,9.7,0,62.27
2000,3,1,15,4.1,0,43.14
1906,2,1,7,10.0,2,59.38
3280,5,3,5,10.5,0,94.47
3275,4,3,11,15.0,1,100.4
1572,3,2,23,14.1,1,23.49
2368,3,2,27,8.3,0,62.75
1882,3,2,20,4.8,2,53.08
1309,2,1,7,13.1,2,25.54
2079,2,1,25,8.7,0,26.51
2034,2,2,27,3.1,0,36.4
1248,3,2,3,18.1,1,40.4
917,2,2,25,14.0,0,20.0
1857,3,1,7,13.8,2,40.91
1283,1,1,25,16.5,0,20.0
1263,3,3,27,10.8,1,51.18
2598,5,3,17,16.4,1,83.9
2231,4,3,27,10.2,1,57.7
2095,3,2,27,1.8,1,50.51
1736,3,3,4,8.4,1,60.51
2453,4,3,8,10.2,0,76.17
2120,2,1,3,14.5,0,33.08
3089,5,3,26,2.6,0,78.37
1163,2,1,21,3.2,0,20.0
